sandi,no_izin,nama,tgl_jatuh_tempo_izin,npwp,modal_disetor,kpwdn,pulau,provinsi,kota,pengurus,pemegang_saham
777930037,20/227/Btm/84,Mitra Transdana Nusantara,,83.107.264.0-215.000,500000000,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kota Batam,Hendri,Hendri; Song Peng
777930039,20/229/Sb/5,Jawa Paket Express,,,0,KPwBI Provinsi Jawa Timur,Jawa,Provinsi Jawa Timur,Kota Surabaya,,
777930041,20/228/Btm/85,Cahaya Asia Remit,,83.763.337.9-215.000,0,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kota Batam,,
777930042,20/232/Ptk/7,Marvindo Sukses Cemerlang,,,500000000,KPwBI Provinsi Kalimantan Barat,Kalimantan,Provinsi Kalimantan Barat,Kota Pontianak,Gunawan,Gunawan; Henny Meivinna; Ridick Tanjaya
777930043,20/233/Sb/6,PT SAN INDONESIA REMIT,01/01/0001,82.799.190.2-619.000,1100000000,KPwBI Provinsi Jawa Timur,Jawa,Provinsi Jawa Timur,Kota Surabaya,,
777930044,20/235/DKSP/83,Wallex Teknologi Berkat,,80.092.962.2-071.000,4000000000,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Pusat,Andy Putra Priyo Utomo,Cherry Angela Widjaja; Christilia Angelica Widjaja
777930047,21/241/DKSP/88,PT Kawan Hai Hai Remittance,,,0,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Utara,,
777930048,21/247/DKSP/92,ZND Asia Utama,,81.745.448.1-017.000,0,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Pusat,,
777930049,20/236/Ml/4,Hokindo Sukses Bersama,,84.119.110.9-623.000,0,KPwBI Malang,Jawa,Provinsi Jawa Timur,Kota Malang,,
777930050,21/245/Bd/7,Kredigram Pembayaran Elektronis,05/04/2024,82.854.618.4-416.000,2617000000,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Pusat,Firdaus Juli; Tony Indrali,Firdaus Juli; PT Mid Solusi Nusantara
777930051,21/244/DKSP/90,Midi Utama Indonesia,,,0,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi Banten,Kota Tangerang,,
777930052,21/242/DKSP/89,Pelangi Indodata,,21.104.638.8.414.000,0,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi Jawa Barat,Kab. Bekasi,,
777930053,21/243/Mdn/13,Index Internasional Remit,,75.866.955.0-122.000,0,KPwBI Provinsi Sumatera Utara,Sumatera,Provinsi Sumatera Utara,Kota Medan,,
777930055,21/250/Sb/7,TRI USAHA BERKAT,01/01/0001,85.691.576.4-604.000,3000000000,KPwBI Provinsi Jawa Timur,Jawa,Provinsi Jawa Timur,Kab. Sidoarjo,DIDIN NOOR ALI,DIDIN NOOR ALI; EMILA PUTRI NOOR ALI; GAGUK HANDOKO
777930056,21/253/Bd/8,Inklusi Keuangan Nusantara,14/08/2024,85.007.691.0-423.000,100000000000,KPwBI Provinsi Jawa Barat,Jawa,Provinsi Jawa Barat,Kota Bandung,Imam Kurnia Putra; Jefriyanto,PT Fazz Financial Group; PT Garuda Digital Investama
777930057,21/252/Btm/88,SUKSES REMITINDO BERSAMA,01/01/0001,90.536.617.5-215.000,250000000,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kota Batam,ERLIN,ERLIN; MICHAEL FEBRISAL
777930058,21/258/Btm/91,SINAR UNIVERSAL REMITAN,,91.907.371.8-214.000,500000000,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kota Tanjung Pinang,SIANTO,MELISA KALORADO LEBERTY; SIANTO
777930059,21/251/Btm/87,LIMA TRINITI REMITEN,,90.552.218.1-215.000,500000000,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kota Batam,YUSMADIAYANTO,HERIANI; YUSMADIAYANTO
777930060,21/259/Btm/92,MITRA INDO REMITANSI,,91.059.525.5-215.000,500000000,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kota Batam,Sofian Arissanto,"Candy; Sofian Arissanto, S.Kom"
777930061,21/248/Sr/3,Transwap Dunamis Indonesia,,80.218.140.4-402.000,2500000000,KPwBI Provinsi Banten,Jawa,Provinsi Banten,Kota Tangerang,Lili Dewi prawitosari,Surjadi Sjariffudin; Wong Chan Seng
777930062,21/257/Btm/90,LINTAS ASIA MANDIRI,,90.836.096.9-215.000,500000000,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kota Batam,SAUD ALFARIZ,HERY; WIE LIANG
777930063,21/263/Btm/94,ANUGRAH PROSPEK REMITANSI,,91.611.074.5-214.000,500000000,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kota Tanjung Pinang,Emirisa Hasugian,Emirisa Hasugian; Johansa
777930064,21/267/Jkt/3,Dompet Harapan Bangsa,,83.801.410.8-033.000,100000000,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Pusat,Jan Kristanto,Jan Kristanto; Jesayas Ferdinandus
777930065,21/261/Jkt/1,Nium Mitra Indonesia,01/01/0001,82.062.130.8-022.000,1000000000,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Selatan,,
777930066,21/254/Btm/89,ALADIN VALASINDO REMINDO,,16.577.843.2-215.000,150000000,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kota Batam,DENNIS SUTIKNO; HENDI,DAVID SUGIANTO; DENNIS SUTIKNO; HENDI; SARJATI
777930067,21/262/Btm/93,Swandson Semesta Remitan,,91.641.130.9-214.000,300000000,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kota Tanjung Pinang,JACKSON,JACKSON; SUWANDY
777930068,21/266/Btm/96,INDORAYA SEHATI REMITTANCE,,92.274.063.4-223.000,500000000,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kab. Karimun,SUANDI,SAFINA; SUANDI
777930069,21/263/Jkt/2,ZEN ETRANSFER NUSANTARA,,82.407.029.6-037.000,500000000,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Pusat,BONG DEFENDY,BONG DEFENDY; ERWIN PURNAMA; WILLIAM LAMUDA; YULIUS RUSTIANDI OYONG
777930070,21/271/Btm/97,PT.SURYA CITRA REMITAN,,92.725.849.1-215.000,300000000,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kota Batam,ANGELINA,ANGELINA; FEBRIAN HALIM
777930071,23/732/DKSP/Srt/B,PT Fasa Centra Artajaya,,313664443542000,15000000000,KPwBI D.I. Yogyakarta,Jawa,Provinsi Daerah Istimewa Yogyakarta,Kab. Sleman,Thomas Budi Krisnanto; Yosep Agung Tri Atmojo,Eddy Susanto; Thomas Budi Krisnanto; Yosep Agung Tri Atmojo
777930072,21/268/Kd/5,Mitra Cahaya Sampoerna,,91.234.675.6-629.000,125000000,KPwBI Kediri,Jawa,Provinsi Jawa Timur,Kab. Tulungagung,Saiful Hadi,Agus Indarto; Saiful Hadi
777930073,22/278/Cn/11,Amanah Antar Arta,,93.506.658.9-426.000,100000000,KPwBI Cirebon,Jawa,Provinsi Jawa Barat,Kota Cirebon,Surya Sumirat,Irene Yulie Trisharyani; Surya Sumirat
777930074,21/277/Btm/98,GEREN BATAM REMITAN,,93.205.878.7-215.000,500000000,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kota Batam,Mei Winna,Mei Winna; Mutiara Putri Dewi
